Image Name, Time, UTM Zone, Easting (m), Northing (m), Altitude (m), Relative Altitude (m), Roll (rad), Pitch (rad), Yaw (rad)
187.jpg, 1479401069.72, 17, 537415.884728, 537415.884728, 543.04, 14.53, 0.0331210309164, -0.00658571675228, 0.341537614773
188.jpg, 1479401070.09, 17, 537415.865858, 537415.865858, 543.05, 14.54, 0.0330684973586, -0.00629908587436, 0.34133706211
189.jpg, 1479401070.5, 17, 537415.867181, 537415.867181, 543.061154435, 14.5511544354, 0.0327814443031, -0.00598411656835, 0.341382027153
190.jpg, 1479401070.89, 17, 537415.876103, 537415.876103, 543.049420007, 14.5394200069, 0.032723333743, -0.00587601632884, 0.341223882578
191.jpg, 1479401071.24, 17, 537415.876149, 537415.876149, 543.048436454, 14.5384364538, 0.0327393166773, -0.00585739724554, 0.34129417098
192.jpg, 1479401071.66, 17, 537415.858498, 537415.858498, 543.069039517, 14.5590395169, 0.0330210179742, -0.00799453789643, 0.341191647293
193.jpg, 1479401071.96, 17, 537415.858377, 537415.858377, 543.07, 14.56, 0.032974982609, -0.00709076173336, 0.339741188893
194.jpg, 1479401072.38, 17, 537415.849525, 537415.849525, 543.085325635, 14.5753256352, 0.0326125008736, -0.00496590702004, 0.340571999152
195.jpg, 1479401072.76, 17, 537415.849504, 537415.849504, 543.09, 14.58, 0.0328285321438, -0.00523707611057, 0.340451318301
196.jpg, 1479401073.07, 17, 537415.851995, 537415.851995, 543.09, 14.58, 0.0326014747059, -0.00524232506158, 0.33990496284
